ProcaMass	ProcaSpin	ModeNumber	Overtone	BlackHoleSpin	Frequency	AngularEigenvalue	Einf	Normalization	TotalEnergy	FinalMass	FinalSpin	Zinf
0.06	-1.	1.	0.	0.9	0.05989095390476039 + 3.088069570497059*^-9*j	-0.06337995776134386 - 1.2736516697163383*^-9*j	6.629891188868995e-9	0.0009782904158033043	0.041428964105116	0.958571035894884	0.22665088072440187	-0.000021133895753894188 + 0.00002736271996217672*j
0.07	-1.	1.	0.	0.9	0.06982626305065794 + 8.497354646764526*^-9*j	-0.07463227106491019 - 3.6293296912773166*^-9*j	6.232960617512246e-9	0.0013913312687122432	0.04621682560947425	0.9537831743905257	0.2617525069608009	-0.000031246040191116784 + 0.000023478873426783055*j
0.08	-1.	1.	0.	0.9	0.07973968249235558 + 2.0295753708403478*^-8*j	-0.08609170041368953 - 8.975637754294072*^-9*j	7.143704438773417e-9	0.0018844560635096156	0.05048068720544369	0.9495193127945563	0.29606842889908824	-0.00003211292906542148 + 0.000035382923542837*j
0.09	-1.	1.	0.	0.9	0.08962779340328071 + 4.351962678265111*^-8*j	-0.0977619782857399 - 1.992518930727985*^-8*j	5.7535531235284176e-9	0.0024606895273871364	0.05424220110568472	0.9457577988943152	0.32959186475189467	-0.00003229540294730245 + 0.00003578033797467814*j
0.1	-1.	1.	0.	0.9	0.09948706550968968 + 8.572529308156637*^-8*j	-0.10964674460032313 - 4.0627877108406376*^-8*j	1.6768692934121107e-8	0.0030438488453399318	0.057519991833716554	0.9424800081662834	0.3623166277053333	-0.00005685790827086597 + 0.00007148283242699144*j
0.11	-1.	1.	0.	0.9	0.10931384479085574 + 1.5767942870720084*^-7*j	-0.12174952167373376 - 7.734448971409337*^-8*j	3.004301989257074e-9	0.003880130964659202	0.06032993668931106	0.9396700633106889	0.39423711917676946	-0.00002917784465741102 + 0.000030873646106818066*j
0.12	-1.	1.	0.	0.9	0.11910434124803253 + 2.7409332233544566*^-7*j	-0.13407368631455296 - 1.391341007657001*^-7*j	3.3252260571237937e-9	0.004736486316978819	0.06268539370982834	0.9373146062901716	0.4253483262172701	-0.00003947251312770554 + 0.000028513167835369283*j
0.13	-1.	1.	0.	0.9	0.12885461664253714 + 4.543853466026757*^-7*j	-0.14662243878475462 - 2.386611487468398*^-7*j	3.313384441805774e-9	0.00570315280711662	0.06459738417673389	0.9354026158232661	0.4556458225418058	-0.0000349247932208677 + 0.00003931354699711561*j
0.14	-1.	1.	0.	0.9	0.13856057214291068 + 7.234321547075521*^-7*j	-0.15939876835207764 - 3.9311397108404955*^-7*j	1.3916364383968905e-9	0.006792881711872465	0.06607473497854306	0.9339252650214569	0.485125772822388	-0.000029755492801374268 + 0.00002139176159239911*j
0.15	-1.	1.	0.	0.9	0.1482179357754638 + 1.1122811581749332*^-6*j	-0.17240541511637633 - 6.252282260581979*^-7*j	4.427788029105963e-9	0.008021111138030185	0.06712418466778636	0.9328758153322136	0.5137849397539129	-0.00006989593964444923 - 1.9968053412274325*^-6*j
